"hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","hashtags/30","timestamp","url","videoPlayCount","likesCount","commentsCount"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","africa","niger",,,,,"2024-03-18T19:51:25.000Z","https://www.instagram.com/p/C4qwCgCp_YC/",,"0","0"
"zacatecas","añodelapaz","allcopsarebastards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-11T20:36:28.000Z","https://www.instagram.com/p/C4YzoYEP-VL/",,"15","1"
"NoToGBV","JusticeForVictims","EnoughIsEnough","StopAbusingUs","StopKillingUs",,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T19:34:43.000Z","https://www.instagram.com/p/C4d2JtNojd0/",,"0","0"
"acab","ftp","corruptgovernment","corruption","criminalpolice","criminalpoliticians","violence","fear","theamericandream","allcopsarebastards","workingforthemafia","policegang","racialprofiling","government","floodedwithlies","taxmoney","thieves","liars","deceivers","takethepowerback","illegalgraffiti","illegaltags","rvataggers","richmondtags","graffitirva","rvagraffiti","richmondgraffiti","tagblender","tagscdmx","analize",,"2024-03-11T19:49:55.000Z","https://www.instagram.com/p/C4YuTcyv3ne/",,"3","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:50:27.000Z","https://www.instagram.com/p/C4qv7cTJmBW/",,"0","0"
"santossticker","stickerculture","santosfc","santosnomundo","torcidajovem","sanguejovem","vilabelmiro","acab","ultrasstickers","footballstickers","culturaderua","santos","rudeboys",,,,,,,,,,,,,,,,,,,"2024-03-18T18:28:27.000Z","https://www.instagram.com/p/C4qmi3yuUVL/",,"27","0"
"BreonnaTaylor","BlackLivesMatter","StopKillingUs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T16:20:45.000Z","https://www.instagram.com/p/C4df9InLdXC/",,"9","1"
"acab","allcopsarebastards","domenicodiele","rairadiotelevisioneitaliana📺","stefanosollima","cinemacult","cinemaitaliano","albanianactor","albanianartist","pierfrancescofavino","filipponigro","ilirjacellari","police","actorslife","setlife🎥","piazzadante","cattleya","raiplay",,,,,,,,,,,,,,"2024-03-18T18:18:44.000Z","https://www.instagram.com/p/C4qlbqjLpfL/",,"8","0"
"ProudDemocrat","VoteBlue","Education","ACA","Palestine","HumanRights","LGBTQIArights","BLM","ClimateChange","TransRights","Ukraine","WomensRights","DEI","ReproductiveRights","GenderEquality","#ReadBannedBooks","VoteOutThegop","Republithugs","LovetRumpsHate",,,,,,,,,,,,,"2024-03-18T21:31:03.000Z","https://www.instagram.com/p/C4q7cRlucIo/",,"0","0"
"socialjustice","blacklivesmatter","justice","humanrights","equality","blm","activism","love","community","racism","education","covid","criminaljusticereform","mentalhealth","nonprofit","racialjustice","feminism","antiracism","bethechange","activist","politics","equity","civilrights","freedom","nojusticenopeace","criminaljustice","diversity","socialchange","prisonreform","vote",,"2024-03-17T10:39:39.000Z","https://www.instagram.com/p/C4nMGYHJlp2/",,"1","0"
"anticapitalist","1312","straßenhund","strassenfotografie","streetdog","dogsofinstagram","graffiti","fcknzs","streetart","stpauli","solidarity","savepalestine","fckcps","vonderstraßefürdiestraße","antifa","freepalestine","linksradikal","hamburg","leftist","gaza","street","communism","acab","antiracist","intersectionalfeminism","antisemitism","instadog","abolishthepolice","antifascist","genocide",,"2024-03-18T18:24:48.000Z","https://www.instagram.com/p/C4qmIEgs074/",,"61","0"
"HowMany","StopKillingUs","BlackLivesMatter","ImTired",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T14:50:03.000Z","https://www.instagram.com/p/C4dVk5wLCtE/",,"25","1"
"HowMany","StopKillingUs","BlackLivesMatter","ImTired",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T14:49:56.000Z","https://www.instagram.com/p/C4dVkDnL3Ao/",,"1","0"
"sidekickpress","villagebookslynden","villagebooksfairhaven","bisbeebooksandmusic","womenwriters","femalewriters","lgbtq","loveislove","onelove","supportauthors","indieauthors","the_narrative_project","racialequality","genderequality","animalrights","vegan","pridemonth","stonewall","gayrights","sidequestproduction",,,,,,,,,,,,"2024-03-12T17:00:26.000Z","https://www.instagram.com/p/C4a_sgjLGCr/",,"8","0"
"poem","poetry","poetrycommunity","writing","writingcommunity","writer","wellnessjourney","wellnessblogger","equality","genderequality","lgbtq","society","politics","religion","faith","beliefs","love","racialequality","activism","selflove","socialjustice","selfcare",,,,,,,,,,"2024-03-12T17:14:50.000Z","https://www.instagram.com/p/C4bBWYOrpA3/",,"1","1"
"acab","allchihuahasarebarky","thescoffs","pnwmusic",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T18:17:06.000Z","https://www.instagram.com/p/C4qlPvqvntv/",,"15","0"
"YWCA","YWCASouthFlorida","SouthFlorida","Florida","Miami","MiamiFlorida","MiamiDade","DadeCounty","EliminatingRacism","RacialJustice","RacialEquality","FightForJustice","EmpoweringWomen","GirlBoss","Empowerment","SocialJustice","Justice","Health","Wellness","Peace","Freedom","Dignity","WomensOrganization","Change","GenderEquality","Nonprofit","Donate","Volunteer","OnAMission","CivilRights",,"2024-03-12T16:21:08.000Z","https://www.instagram.com/p/C4a7M3GrV-p/",,"16","4"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","belarus","russia","ukraine",,,,"2024-03-18T19:49:18.000Z","https://www.instagram.com/p/C4qvzDJJJ4t/",,"0","0"
"graffitiportugal","portugal","graffiti","tuga","montana","acab","paint","colors","artists","trains","paintedtrains","graffititrain","graffitilife","montanacans","graffitiphotography","stickers","graffsdatuga","2roots","secso","sudae","muxi",,,,,,,,,,,"2024-03-18T18:03:32.000Z","https://www.instagram.com/p/C4qjsaOoF4v/",,"61","1"
"kamranghasemi","urmia","mahsaamini","zhinaamini","jinjiyanazadi","zanzendegiazadi","womanlifefreedom","iranrevolution","childrenofiran","opiran","saytheirnames","betheirvoice","stopkillingus","stopexecutionsiniran","irandiaspora","humanrights","bundesregierungdeutschland","euparliament","donotnegotiatewithterrorists","irgcterrorists","auswärtigesamt","اعدام_هرگز_و_برای_هیچگس","نه",,,,,,,,,"2024-03-13T14:01:15.000Z","https://www.instagram.com/p/C4dP_Zai5nh/",,"0","0"
"blackownedbusiness","blackowned","blackgirlmagic","smallbusiness","explorepage","blackbusiness","buyblack","supportblackbusiness","blackexcellence","entrepreneur","fashion","explore","blacklivesmatter","melanin","love","supportsmallbusiness","beauty","atlanta","black","handmade","naturalhair","blacklove","girlboss","lashes","blackentrepreneurs","blackentrepreneur","blackculture","blm","bhfyp","follow",,"2024-03-18T19:49:56.000Z","https://www.instagram.com/p/C4qv3nLoMNi/",,"0","2"
"acab","1312","acab1312","fuckcops","allcopsarebastards","161","antifascism","anticops","antifa","anticapitalism","ecology","feminism","graff","graffiti","acabgraffiti","radicalgraffiti","stickers","acabstickers","street","streetphotography","streetart","supportyourlocalantifa","metalhead",,,,,,,,,"2024-03-11T12:12:01.000Z","https://www.instagram.com/p/C4X55pTiu1l/",,"9","0"
"photography","eventphotographer","picoftheday","race","racialjustice","blackhistorymonth","blackgirlmagic","blackhistory","community","event","events",,,,,,,,,,,,,,,,,,,,,"2024-03-17T04:05:06.000Z","https://www.instagram.com/p/C4me8pYt2t8/",,"2","0"
"protestachile","libertad","allcopsarebastards","pueblochileno","fotografia","foto","manifestacioneschile","photographer","nopasaran","antifascista","antifa","antinazi","oscuridad","acabchile","1312","fuegoalayuta","santiagodechile","insurrection","santiago","cristianvaldebenitopresente","cristianvaldebenito",,,,,,,,,,,"2024-03-11T10:49:05.000Z","https://www.instagram.com/p/C4XwaLJu2Q3/",,"293","3"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:48:44.000Z","https://www.instagram.com/p/C4qvu4ZJFvp/",,"0","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:48:04.000Z","https://www.instagram.com/p/C4qvqBrJPBi/",,"0","0"
"GBAPlus","GenderBasedAnalysis","Intersectionality","GenderEquality","Inclusion","GBA","GenderEquity","Neurodiversity","AntiRacism","RacialEquality",,,,,,,,,,,,,,,,,,,,,,"2024-03-12T14:03:14.000Z","https://www.instagram.com/p/C4arS1msuuy/",,"14","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","china",,,,,,"2024-03-18T19:47:28.000Z","https://www.instagram.com/p/C4qvljAJDU-/",,"0","0"
"noextradition","freeallantifas","freethebudapesttwo","freeassange","freethemall","antifa","ftp","acab","blackbloc",,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T17:58:18.000Z","https://www.instagram.com/p/C4qjGDxLyFW/",,"1","0"
"JFT97","hillsborough","miscarraigeofjustice","nojusticenopeace","neverforgiveneverforget","betterhopeidontfindu","acab","fuckthepigs","scouseabuse","irishabuse",,,,,,,,,,,,,,,,,,,,,,"2024-03-18T17:55:46.000Z","https://www.instagram.com/p/C4qizdiIE9g/",,"0","0"
"from_father_to_son__","fromfathertoson","uefamafia","ultraslife","ultrasstyle","ultrasmentality","ultras","ultrastifo","ultrascasual","ultrastattoo","ultrasworld","hooligans","hools","casuals","casual","correo","corteo","pyro","pyroshow","pyroisnotacrime","nopyronoparty","nofacenoname","nofacenocase","1312","acab","allcopsarebastards","tifo","tifosi","awaydays","againstmodernfootball",,"2024-03-11T14:56:38.000Z","https://www.instagram.com/p/C4YMvR5MWZL/",,"593","0"
"casuals","pyro","clobber","acab","stoneisland","casualwayoflife","Casuallyobsessed","gse","Adiporn","1312","WeAreUltras","AllCopsAreBastards","Ultraslife","Ultrasworld","Ultrastyle","Casualculture","casualdays","casualscene","stoneandpeople","3stripes","casualstyle","StoneIslandClothing","ellesse","casualclobber","keepitcasual","3foil","napapijri","weekendoffender","casually","fredperry",,"2024-03-11T17:23:51.000Z","https://www.instagram.com/p/C4YdlniNp-D/",,"1253","4"
"racialjustice","dialogueonraceandfaith","awakeningtojustice","intervarsitypress","racialequality","racialhealing",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-12T14:05:37.000Z","https://www.instagram.com/p/C4arsktA_d5/",,"5","0"
"WokeLent","Lent","UCCMovement","JustWorldForAll","ForSuchATimeAsThis","UCC","RacialJustice",,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-17T10:00:42.000Z","https://www.instagram.com/p/C4nHo8nsT9Z/",,"12","0"
"womenshistorymonth","womenshistory","sandiego","madaamsd","president","love","blm","shirlychisholm",,,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T19:44:10.000Z","https://www.instagram.com/p/C4qvNavv7SV/",,"3","0"
"negarkarimian","mahsaamini","zhinaamini","jinjiyanazadi","zanzendegiazadi","womanlifefreedom","iranrevolution","childrenofiran","opiran","saytheirnames","betheirvoice","stopkillingus","stopexecutionsiniran","irandiaspora","humanrights","bundesregierungdeutschland","euparliament","donotnegotiatewithterrorists","irgcterrorists","auswärtigesamt","اعدام_هرگز_و_برای_هیچگس","نه",,,,,,,,,,"2024-03-13T13:07:10.000Z","https://www.instagram.com/p/C4dJzSNCM_E/",,"3","0"
"mahsaamini","zhinaamini","jinjiyanazadi","zanzendegiazadi","womanlifefreedom","iranrevolution","childrenofiran","opiran","saytheirnames","betheirvoice","stopkillingus","stopexecutionsiniran","irandiaspora","humanrights","bundesregierungdeutschland","euparliament","donotnegotiatewithterrorists","irgcterrorists","auswärtigesamt","اعدام_هرگز_و_برای_هیچگس","نه",,,,,,,,,,,"2024-03-13T13:03:30.000Z","https://www.instagram.com/p/C4dJYdjCJD4/",,"1","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:34:48.000Z","https://www.instagram.com/p/C4quIvyJPUq/",,"0","0"
"antiracism","greenanarchism","antifascista","latestagecapitalism","anarchocommunism","humanrights","allcopsarebastards","anarchafeminist","antifascistaction","socialjustice","activist","antiracist","nopasaran","anarchist","political",,,,,,,,,,,,,,,,,"2024-03-10T20:01:04.000Z","https://www.instagram.com/p/C4WKx7PpReU/",,"23","0"
"BSS","RacialJustice","DecriminalozationNOW","youth","people","power","black","brown","love","justice","boys","men","losangeles","longbeach","instagood","mood","igdaily","instadaily","follow","la","california","school","education","students","squad","team","community","brother","son","us",,"2024-03-17T00:28:09.000Z","https://www.instagram.com/p/C4mGHqdPywC/",,"72","5"
"conflictresolution","theconflictcloser","onthematterofrace","lynnemaureenhurdle","otmr","endracism","antiracism","racialequality","racialdivide","blm","blacklivesmatter","georgefloyd","racism","nojusticenopeace","equality","justice",,,,,,,,,,,,,,,,"2024-03-12T12:48:16.000Z","https://www.instagram.com/p/C4ai11_swZr/",,"1","0"
"BLM","stj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T19:34:34.000Z","https://www.instagram.com/p/C4quHECRDKy/",,"0","0"
"mahsaamini","zhinaamini","jinjiyanazadi","zanzendegiazadi","womanlifefreedom","iranrevolution","childrenofiran","opiran","saytheirnames","betheirvoice","stopkillingus","stopexecutionsiniran","irandiaspora","humanrights","bundesregierungdeutschland","euparliament","donotnegotiatewithterrorists","irgcterrorists","auswärtigesamt","اعدام_هرگز_و_برای_هیچگس","نه",,,,,,,,,,,"2024-03-13T11:14:45.000Z","https://www.instagram.com/p/C4c87-dimdr/",,"3","0"
"napoli","naples","montepulciano","gramsci","animallovers","catlife","catlovers","forteprenestino","slamdunk","ercolano","ceasefirenow","freepalestine","allcatsarebeautiful","acab",,,,,,,,,,,,,,,,,,"2024-03-18T17:45:43.000Z","https://www.instagram.com/p/C4qhp44toIj/",,"19","0"
"2dfd","AnimeFindom","2dfindom","Findom","2ddomme","mommy","mommydom","findomgoddes","findoms","finance","findomqueen","findomworship","findomfetish","brat","egirl","voice","voiceacting","captions","reading","paypiggy","cash","dommy","dommymommy","alpha","blm","blacked","beta","whiteboi","submessivetattoo",,,"2024-03-18T19:46:26.000Z","https://www.instagram.com/p/C4qvd96PBRx/",,"11","0"
"ultrasworld","againstmodernfootball","propyro","footballultras","ACAB1312","acab","hooligans","ultras","hooligan",,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T17:51:24.000Z","https://www.instagram.com/p/C4qiTblLpCu/",,"6","0"
"policememes","copmemes","cophumorlife","policehumor","copsofinstagram","endqualifiedimmunity","backtheblue","cophumor","republicanmemes","bluelivesmurder","bluelinebeasts","copmeme","allcopsarebastards","abolishthepolice","policek9","defundthepolice","impeachbiden","firememes","donttreadonmetattoo","humanizethebadge","fitcops","policethepolice","bluelinefamily","acab",,,,,,,,"2024-03-10T18:39:16.000Z","https://www.instagram.com/p/C4WBbFXvDRb/",,"53","1"
"freepalestine","freefreepalestine","savepalestine","savehumanity","saveinnocentlives","ceasefirenow","palestineunderattack","istandwithpalestine","boycottisrael","israelthemurderer","shameonisrael","shameonun","stopgenocide","stopoccupation","stopterrorism","post","trending","endisraelsgenocide","yourvoicematters","stopisrael","stopkillingus","alleyesonrafah","defendgaza","palestine","gaza","wewillnotbesilenced","feednorthgaza","ceasefirenow🇵🇸","prayforpalestine","explore",,"2024-03-13T10:41:15.000Z","https://www.instagram.com/p/C4c5Gm2hjFg/",,"1","0"
"freepalestine","freefreepalestine","savepalestine","savehumanity","saveinnocentlives","ceasefirenow","palestineunderattack","istandwithpalestine","boycottisrael","israelthemurderer","shameonisrael","shameonun","stopgenocide","stopoccupation","stopterrorism","post","trending","endisraelsgenocide","yourvoicematters","stopisrael","stopkillingus","alleyesonrafah","defendgaza","palestine","gaza","wewillnotbesilenced","feednorthgaza","ceasefirenow🇵🇸","prayforpalestine","explore",,"2024-03-13T10:35:33.000Z","https://www.instagram.com/p/C4c4c2lBUHW/",,"1","0"
"Justice4MannyClark","StopKillingUs","NoJusticeNoPeace","BlackLivesMatter",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T13:44:08.000Z","https://www.instagram.com/p/C4dOCC1LRPJ/",,"139","1"
"rachelcargle","arenaissanceofourown","memoir","manifesto","reimagining","book","booklover","booknerd","bookaddict","bookstagram","bookrecommendations","booksuggestions","values","feminism","feminist","feministliterature","relationships","work","education","rest","womanism","intersectional","intersectionalfeminism","racialjustice","activism","activist","queer","thegreatunlearn","alignment","rachelecargle",,"2024-03-16T20:49:04.000Z","https://www.instagram.com/p/C4ltC_VSz8J/",,"1","0"
"1312","acab","acab1312","chwdp","graffiti","streetart","allcopsarebastards","fuckcops","fckcps","nocops","dresden","hatecops","acabgraffiti","1312graffiti","1312acab","graffitiart",,,,,,,,,,,,,,,,"2024-03-10T16:40:49.000Z","https://www.instagram.com/p/C4Vz3g0IIZF/",,"9","0"
"eveilcitoyen","humanitaire","children","roman","cinema","netflixfr","rap","hiphop","music","film","citation","rapfrancais","blm","courage","force","determination","puissance","inspiration","meditation","motivation","rnb","poème","education","littérature","lecture","espoir","movie","rapfr","reggae","humanrights",,"2024-03-18T19:33:44.000Z","https://www.instagram.com/p/C4quA_TgCRt/",,"0","0"
"ACAB","AllCopsAreBastards","Brussels","Bruxelles","Brussel","police","politie","Poelaert",,,,,,,,,,,,,,,,,,,,,,,,"2024-03-10T11:54:47.000Z","https://www.instagram.com/p/C4VTIfjNNeG/",,"11","0"
"conflictresolution","theconflictcloser","onthematterofrace","lynnemaureenhurdle","otmr","endracism","antiracism","racialequality","racialdivide","blm","blacklivesmatter","georgefloyd","racism","nojusticenopeace","equality","justice",,,,,,,,,,,,,,,,"2024-03-18T16:19:21.000Z","https://www.instagram.com/p/C4qXxEptMvJ/",,"1","0"
"fetyszstop","fetyszstóp","fetyszstópek","fetiche","feet","feetmodels","feetfetishgang","fetysz","stópki","stopkillingus","fetiches","trampling","tramplingfeet","tramplingface","tramplefetish","barefootgirl","barefootlife","barefootmassage",,,,,,,,,,,,,,"2024-03-13T10:09:37.000Z","https://www.instagram.com/p/C4c1e82twJS/",,"19","6"
"eveilcitoyen","humanitaire","children","roman","cinema","netflixfr","rap","hiphop","music","film","citation","rapfrancais","blm","courage","force","determination","puissance","inspiration","meditation","motivation","rnb","poème","education","littérature","lecture","espoir","movie","rapfr","reggae","humanrights",,"2024-03-18T19:33:30.000Z","https://www.instagram.com/p/C4qt_UkgtU6/",,"0","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:33:38.000Z","https://www.instagram.com/p/C4quAQzJ_IV/",,"0","0"
"thugs","policememes","cophumorlife","policehumor","copsofinstagram","endqualifiedimmunity","backtheblue","cophumor","republicanmemes","f12","bluelinebeasts","copmeme","allcopsarebastards","abolishthepolice","policek9","defundthepolice","impeachbiden","firememes","donttreadonme","humanizethebadge","fitcops","policethepolice","donttreadonme🐍","bluelinefamily","acab","copmemes",,,,,,"2024-03-11T06:52:41.000Z","https://www.instagram.com/p/C4XVWxLu7Id/",,"43","3"
"U€FA","uefamafia","uefaawards","hooligans","footballhooligans","hooliganslifestyle","fckcps","acab","1312","casuals","casualstyle","azərbaycan","kəşfet","baku","baki","azerbaijan",,,,,,,,,,,,,,,,"2024-03-18T17:17:30.000Z","https://www.instagram.com/p/C4qebKTo4aS/",,"39","3"
"freepalestine","freefreepalestine","savepalestine","savehumanity","saveinnocentlives","ceasefirenow","palestineunderattack","istandwithpalestine","boycottisrael","israelthemurderer","shameonisrael","shameonun","stopgenocide","stopoccupation","stopterrorism","post","trending","endisraelsgenocide","stopisrael","stopkillingus","alleyesonrafah","defendgaza","palestine","gaza","wewillnotbesilenced","feednorthgaza","ceasefirenow🇵🇸","prayforpalestine","yourvoicematters","explore",,"2024-03-13T08:05:33.000Z","https://www.instagram.com/p/C4cnSQxhXNg/",,"1","0"
"graffiti","fuckthepolice","ink","streetstyle","streetphotography","streetwear","acab","1312","zitate","romantik","ghetto","hiphop","techno","love","liebe","poet","berlin","münchen","köln","hamburg","blackandwhite","kunst","hardtekk","sprüche","gefühle","straße","tattoos",,,,,"2024-03-18T17:44:46.000Z","https://www.instagram.com/p/C4qhi2pMK7S/",,"858","15"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:33:16.000Z","https://www.instagram.com/p/C4qt9oQJXJW/",,"0","0"
"graffiti","fuckthepolice","ink","streetstyle","streetphotography","streetwear","acab","1312","zitate","romantik","ghetto","hiphop","techno","love","liebe","poet","berlin","münchen","köln","hamburg","blackandwhite","kunst","hardtekk","sprüche","gefühle","straße","tattoos",,,,,"2024-03-18T17:43:50.000Z","https://www.instagram.com/p/C4qhcHYsyc6/",,"263","7"
"criminaljusticereform","empowermentavenue","ellabakercenter","ab280","mandelaact","humanrightswatch","droplwop","SB94","deathpenaltyaction","amnestyinternational","RacialJustice","RJA","Equality","Humanity","artasresistance","artforchange","Justice","EndtheDeathPenalty","enddeathbyincarceration","DropLWOP","HumanRights","IndigenousRights","stopsolitaryconfinement","stopexecutions",,,,,,,,"2024-03-16T17:57:57.000Z","https://www.instagram.com/p/C4lZdqmxDIz/",,"17","1"
"freepalestine","freefreepalestine","savepalestine","savehumanity","saveinnocentlives","ceasefirenow","palestineunderattack","istandwithpalestine","boycottisrael","israelthemurderer","shameonisrael","shameonun","stopgenocide","stopoccupation","stopterrorism","post","trending","yourvoicematters","endisraelsgenocide","stopisrael","stopkillingus","alleyesonrafah","defendgaza","palestine","gaza","wewillnotbesilenced","feednorthgaza","ceasefirenow🇵🇸","explore","prayforpalestine",,"2024-03-13T05:27:37.000Z","https://www.instagram.com/p/C4cVNdmhBv3/",,"4","0"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel",,,,,,,"2024-03-18T19:32:55.000Z","https://www.instagram.com/p/C4qt6-opH9r/",,"0","0"
"BLM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-02-27T17:59:51.000Z","https://www.instagram.com/p/C33DX51PGqx/",,"0","1"
"mikesrandomthoughts","breakingnews","christiannews","redwave2024","bluelivesmatter","Senate","Congress","houseofrepresentatives","JoeBiden","KamalaHarris","antifascist","BLM","blacklivesmatter","veterans","secondamendment","atwar","ATWA","supremecourt","departmentofjustice","backtheblue","patriots","americafirst","republicanparty","democraticparty","Israel","russia","ukraine",,,,,"2024-03-18T19:31:46.000Z","https://www.instagram.com/p/C4qtynypCwD/",,"0","0"
"anarchiste","anarchist","anar","anarchie","anarchisme","anarchism","libertaire","communiste","communist","communisme","communism","18mars","anarchy","commundedeparis","antifa","antiraciste","anticapitalist","anticapitalism","antifascist","anticapitalisme","almanach","antifascisme","acab","1312","ephemeride","militante","insurection","revolutionaire","revolution","🏴",,"2024-03-18T20:57:10.000Z","https://www.instagram.com/p/C4q3kHiCVWT/",,"-1","0"
"Justice4MannyClark","StopKillingUs","NoJusticeNoPeace","BlackLivesMatter",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-13T02:19:40.000Z","https://www.instagram.com/p/C4b_s2AxZ6P/",,"46","0"
"TheHumanityProject","HumanityProject","humanity","respect","equality","EqualityForEachRespectForAll","racialequality","lgbtqequality","genderequality","religiousequality","betterworld","weneedmorehumanity",,,,,,,,,,,,,,,,,,,,"2024-03-17T16:21:00.000Z","https://www.instagram.com/p/C4nzKftLdQc/",,"13","2"
"urbanspeedwear","fashion","ballercouture","merch","161crew","fcknzs","fckafd","fckcps","acab","afa","antifascista",,,,,,,,,,,,,,,,,,,,,"2024-03-18T17:43:22.000Z","https://www.instagram.com/p/C4qhYlesL66/",,"229","0"
"women","prochoice","pov","womensrights","abortion","abortionrights","fyp","freedom","blacklivesmatter","reproductivejustice","quotesoftheday","politics","justice","socialjustice","racialjustice","lgbt","trans","queer","pic","equality","ERA","feminism","illustration","photooftheday","democracy","typography","art","artoftheday","equalrights","equalpayday",,"2024-03-16T19:21:27.000Z","https://www.instagram.com/p/C4ljBPrOw5r/",,"349","13"
"anarchiste","anarchist","anar","anarchie","anarchisme","anarchism","libertaire","communiste","communist","communisme","communism","18mars","anarchy","commundedeparis","antifa","antiraciste","anticapitalist","anticapitalism","antifascist","anticapitalisme","almanach","antifascisme","acab","1312","ephemeride","militante","insurection","revolutionaire","revolution","🏴",,"2024-03-18T20:54:41.000Z","https://www.instagram.com/p/C4q3R2ziRTq/",,"-1","0"
"CEOMeeting2024.","racialjustice,","hungerrelief,","housingsecurity,","LGBTQ+",,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-03-18T18:50:22.000Z","https://www.instagram.com/p/C4qpDYDpMsd/",,"2","1"
"standout","tshirts","teeshirt","teeshirts","teeshirtdesign","jackets","blackculture","blacklivesmatter","wematter","OurBlackBeauty","blackisbeautiful","accessories","cultural","buyblack","black","blackownedbusiness","blackowned","melaninpoppin","blackexcellence","blackexperience","fortheculture",,,,,,,,,,,"2024-03-18T21:27:49.000Z","https://www.instagram.com/p/C4q7EnDS7uC/",,"0","0"
